GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
machine,fr.imt.cours.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,4,0,0,0,2,0,1,0,1,0
machine,fr.imt.cours.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,4,0,0,0,2,0,1,0,1,0
machine,fr.imt.cours.machine.exception,LackOfWaterInTankException,4,0,0,0,2,0,1,0,1,0
machine,fr.imt.cours.machine.exception,MachineNotPluggedException,4,0,0,0,2,0,1,0,1,0
machine,fr.imt.cours.machine,EspressoCoffeeMachine,2,127,2,16,0,25,2,9,0,2
machine,fr.imt.cours.machine,CoffeeMachine,3,245,0,18,1,63,1,29,1,20
machine,fr.imt.cours.machine.component,SteamPipe,11,6,0,0,5,3,3,1,3,1
machine,fr.imt.cours.machine.component,Tank,6,29,0,0,2,10,2,4,2,4
machine,fr.imt.cours.machine.component,BeanTank,0,23,0,0,0,9,0,4,0,4
machine,fr.imt.cours.machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
machine,fr.imt.cours.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
machine,fr.imt.cours.machine.component,CoffeeGrinder,0,32,0,0,0,10,0,3,0,3
machine,fr.imt.cours.machine.component,WaterPump,3,37,0,0,1,11,1,3,1,3
